Species.Code,wood_density,init_drywt_fraction,mean.C.perc,mean.N.perc,mean.S.G,mean.pH,mean.Ca.perc,mean.K.perc,mean.Mg.perc,mean.P.perc,mean.Mn.perc,mean.Al.perc
ALSC,0.278439615754503,0.316381886795666,50.01,0.39,0.573833341337611,5.925,0.218851525300858,0.175449312073323,0.0368988089568729,0.0129895172821007,0.00248611410854657,0.00444058356860583
ARPE,0.653162792397661,0.573936689438719,51.39,0.305,2.80028449417366,5.255,0.349853013322143,0.0158228198615048,0.11041932170364,0.00734710442929279,0.0253856150483226,0.00168719252141686
CAAU,0.535225973710129,0.529832178581683,48.635,0.37,2.26302455404936,4.43,0.0488346308835206,0.0053491328656599,0.0120890093198569,0.0188161605911469,0.0138243580969137,0.000563636278130083
CASU,0.474541832825084,0.49603945499719,50.04,0.385,2.82164940966356,4.98,0.216380422986975,0.00373873455441468,0.0761698808830556,0.0192200449954155,0.0267661465121463,0.00257734891412589
CLOB,0.591206506203377,0.526215138264825,48.97,0.465,1.3075997377652,4.655,0.157463850149561,0.105488557720508,0.0407316764679753,0.0232536785526589,0.0289124073867213,0.00329028675211402
DYPA,0.565430563482412,0.537652108357073,48.995,0.41,2.14797358169085,5.41,0.277590049961089,0.0228745931837817,0.0408922665646256,0.0224535923076177,0.0008987372077995,0.000974564320183652
EUCU,0.850125247357469,0.760819190551903,51.265,0.245,2.20083262895322,4.04,0.624984284884835,-0.000835397873291359,0.0284414771127102,0.00137310617419274,0.0186135104549182,0.000916939631572186
EULE,0.724501577756609,0.722715187214323,48.195,0.235,1.94147062182107,4.13,0.223949339408008,-0.000776531406985017,0.0278559683559219,0.00273263292644648,0.0289629118532065,0.0019539971351371
MEST,0.672991728899189,0.672104531430683,51.85,0.49,1.30013687989915,5.585,0.248130639910379,0.000535600250428795,0.142376223428368,0.00313439476465451,0.00371088381641683,0.000930574469774532
MEVI,0.622504738626522,0.630265671202854,52.445,0.35,0.456924793667208,4.665,0.0787132692278659,-0.00101264752010842,0.0395368543805615,0.00349823230114902,0.00900160512786358,0.000139654048343993
MYGL,0.429764038577631,0.497302191846188,49.48,0.485,1.82261631914403,5.61,0.148539466837122,0.00805574067067284,0.0501567111214638,0.0306113084230899,0.00499638230276768,0.00198375388384479
NONO,0.611063095506649,0.646396878819514,46.87,0.25,3.01864181091878,4.25,0.0781068253967785,0.35646513604257,0.109666333409953,0.0135297160846021,0.0404731570179202,0.000981074797238306
PEBA,0.676028132040715,0.605369013972152,50,0.615,1.25967135342543,5.045,0.162844210856881,0.0364021190380673,0.0317306233647713,0.00883692081750036,0.0019537504792058,0.000386507170868552
ROAN,0.548771252371916,0.524551717813825,48.18,0.62,2.40272726033302,5.03666666666667,0.243175103975257,0.0328298287122556,0.0658244623133618,0.0291739283782453,0.0186643291894126,0.000534044029073051
SYSA,0.56913516622959,0.50154317473727,49.675,0.335,1.60881345855624,4.15,0.0781697572052403,0.000773337875909037,0.0840394166627439,0.0243754792799114,0.0116991271821694,0.00734337426586491
TEAR,0.739517511561371,0.720912584153193,49.38,0.395,1.02944207400824,4.11,0.598980118288724,0.0285057612983821,0.0563989211300624,0.00398702791741473,0.00798924550903864,0.130879831224857
